Ticker,Persona,Return (%),MDD (%),Sharpe,Trades
0050.TW,aggressive,33.73,-6.07,2.53,10
0050.TW,moderate,24.35,-3.91,2.56,7
0050.TW,conservative,0.84,-2.39,-0.04,6
0052.TW,aggressive,31.21,-2.33,3.69,4
0052.TW,moderate,26.23,-2.16,3.61,3
0052.TW,conservative,0.0,0.0,0.0,0
2301.TW,aggressive,35.77,-26.93,1.2,25
2301.TW,moderate,23.61,-11.95,1.18,7
2301.TW,conservative,6.98,-5.82,0.62,20
2317.TW,aggressive,7.69,-2.5,1.3,2
2317.TW,moderate,0.0,0.0,0.0,0
2317.TW,conservative,0.0,0.0,0.0,0
2324.TW,aggressive,0.0,0.0,0.0,0
2324.TW,moderate,0.0,0.0,0.0,0
2324.TW,conservative,0.0,0.0,0.0,0
2330.TW,aggressive,0.0,0.0,0.0,0
2330.TW,moderate,0.0,0.0,0.0,0
2330.TW,conservative,0.0,0.0,0.0,0
2344.TW,aggressive,10.2,-11.91,0.64,18
2344.TW,moderate,0.0,0.0,0.0,0
2344.TW,conservative,0.0,0.0,0.0,0
2388.TW,aggressive,-6.99,-9.47,-1.01,10
2388.TW,moderate,-6.5,-9.49,-1.0,6
2388.TW,conservative,0.0,0.0,0.0,0
2409.TW,aggressive,9.63,-10.1,0.52,12
2409.TW,moderate,6.46,-5.47,0.57,8
2409.TW,conservative,0.03,-0.06,-8.03,2
2455.TW,aggressive,11.2,-6.59,0.73,18
2455.TW,moderate,8.47,-2.26,1.18,6
2455.TW,conservative,0.0,0.0,0.0,0
2481.TW,aggressive,17.66,-15.35,0.79,25
2481.TW,moderate,8.35,-7.86,0.6,9
2481.TW,conservative,-0.59,-4.72,-0.32,15
2603.TW,aggressive,4.06,-6.6,0.3,4
2603.TW,moderate,3.73,-6.62,0.26,4
2603.TW,conservative,-0.33,-1.85,-0.53,2
2881.TW,aggressive,-5.51,-12.38,-0.45,12
2881.TW,moderate,0.81,-7.67,-0.02,8
2881.TW,conservative,0.78,-1.29,-0.25,6
3006.TW,aggressive,42.14,-14.87,1.18,29
3006.TW,moderate,18.36,-10.51,0.9,14
3006.TW,conservative,10.41,-4.86,0.96,10
3231.TW,aggressive,-0.0,-4.87,-0.27,4
3231.TW,moderate,0.0,0.0,0.0,0
3231.TW,conservative,0.0,0.0,0.0,0
3481.TW,aggressive,4.66,-15.0,0.3,27
3481.TW,moderate,7.97,-5.03,0.76,10
3481.TW,conservative,0.0,0.0,0.0,0
4916.TW,aggressive,0.02,-32.54,0.12,52
4916.TW,moderate,-12.62,-20.66,-0.96,25
4916.TW,conservative,-6.36,-6.36,-2.08,14
4919.TW,aggressive,-1.34,-2.9,-0.57,2
4919.TW,moderate,-1.14,-2.89,-0.56,2
4919.TW,conservative,0.0,0.0,0.0,0
9958.TW,aggressive,-4.84,-8.36,-0.53,6
9958.TW,moderate,0.0,0.0,0.0,0
9958.TW,conservative,0.0,0.0,0.0,0
