Ticker,Model,DL_AUC,DL_Acc(%),Meta_AUC,Meta_Acc(%),B&H_Return(%),Return(%),MDD(%),Sharpe,Time(s)
2330.TW,Pure_1D_CNN,0.4749,42.61,0.4482,52.61,130.57,10.54,-4.41,1.33,145.5
2330.TW,Hybrid_LSTM,0.5744,49.13,0.4733,52.61,130.57,10.54,-4.41,1.33,132.9
2330.TW,Hybrid_GRU,0.5803,40.0,0.4733,50.43,130.57,-1.34,-3.27,-0.87,192.2
2603.TW,Pure_1D_CNN,0.5886,52.17,0.5948,55.22,18.42,-8.43,-8.43,-1.39,133.0
2603.TW,Hybrid_LSTM,0.5786,53.91,0.5919,54.35,18.42,12.74,-6.41,1.04,142.2
2603.TW,Hybrid_GRU,0.5844,55.65,0.5963,54.78,18.42,12.74,-6.41,1.04,183.1
2881.TW,Pure_1D_CNN,0.5472,47.83,0.5265,50.0,24.82,2.21,-8.77,0.16,127.0
2881.TW,Hybrid_LSTM,0.5435,47.39,0.5111,47.39,24.82,-1.8,-8.72,-0.14,128.4
2881.TW,Hybrid_GRU,0.5938,49.57,0.5485,55.22,24.82,2.21,-8.77,0.16,206.6
2409.TW,Pure_1D_CNN,0.541,50.43,0.5891,56.96,58.96,5.85,-6.42,0.53,141.1
2409.TW,Hybrid_LSTM,0.5999,56.96,0.6203,60.0,58.96,1.83,-6.4,0.14,139.9
2409.TW,Hybrid_GRU,0.6344,59.57,0.6321,61.3,58.96,-1.91,-6.45,-0.22,187.1
2344.TW,Pure_1D_CNN,0.6521,74.78,0.6062,77.39,570.07,16.66,-5.64,1.02,138.9
2344.TW,Hybrid_LSTM,0.6429,69.13,0.5686,75.22,570.07,12.25,-3.34,1.28,149.2
2344.TW,Hybrid_GRU,0.6634,76.09,0.5975,78.26,570.07,15.49,-3.34,1.5,206.0
2388.TW,Pure_1D_CNN,0.4773,52.61,0.475,44.35,-11.53,-2.99,-5.03,-0.75,140.7
2388.TW,Hybrid_LSTM,0.5407,41.74,0.5238,38.7,-11.53,0.0,0.0,0.0,165.2
2388.TW,Hybrid_GRU,0.4983,44.35,0.4981,45.65,-11.53,5.8,-4.52,0.74,201.7
