Ticker,PR_AUC_Before,PR_AUC_After,PR_AUC_Diff,Top20_Prec_Before(%),Top20_Prec_After(%),Top20_Prec_Diff(%)
2382.TW,0.2783,0.3983,0.12,25.0,41.67,16.67
2881.TW,0.1518,0.2583,0.1065,14.58,27.08,12.5
2454.TW,0.2279,0.3171,0.0891,18.75,31.25,12.5
2324.TW,0.2347,0.314,0.0792,20.83,33.33,12.5
2388.TW,0.2014,0.2757,0.0743,12.5,25.0,12.5
2455.TW,0.2837,0.3558,0.0721,33.33,43.75,10.42
2330.TW,0.4395,0.4902,0.0507,47.92,60.42,12.5
0050.TW,0.4947,0.5398,0.0451,52.08,52.08,0.0
3481.TW,0.2006,0.2304,0.0298,8.33,2.08,-6.25
2377.TW,0.1264,0.1529,0.0265,10.42,14.58,4.17
2409.TW,0.2039,0.2219,0.018,12.5,18.75,6.25
2344.TW,0.4518,0.4517,-0.0,43.75,43.75,0.0
2301.TW,0.3873,0.3576,-0.0298,37.5,35.42,-2.08
1519.TW,0.3709,0.3346,-0.0363,39.58,29.17,-10.42
3231.TW,0.2283,0.1828,-0.0455,18.75,16.67,-2.08
2317.TW,0.4187,0.3433,-0.0754,39.58,31.25,-8.33
0052.TW,0.4243,0.3388,-0.0855,37.5,33.33,-4.17
2603.TW,0.3341,0.2237,-0.1103,27.08,29.17,2.08
