Ticker,Model,DL_AUC,DL_Acc(%),Meta_AUC,Meta_Acc(%),B&H_Return(%),Return(%),MDD(%),Sharpe,Time(s)
2330.TW,Pure_1D_CNN,0.4281,46.09,0.4861,57.39,126.34,-2.29,-2.72,-2.08,94.1
2330.TW,Hybrid_LSTM,0.5769,48.26,0.5349,54.78,126.34,9.59,-3.88,1.18,101.1
2330.TW,Hybrid_GRU,0.5616,41.74,0.5287,56.96,126.34,9.59,-3.88,1.18,150.3
2603.TW,Pure_1D_CNN,0.5852,53.04,0.5887,54.78,-4.91,10.68,-6.52,0.98,91.5
2603.TW,Hybrid_LSTM,0.5841,54.35,0.5976,55.65,-4.91,-5.2,-6.39,-1.23,107.4
2603.TW,Hybrid_GRU,0.6087,55.65,0.6087,56.96,-4.91,8.44,-6.65,0.75,139.5
2881.TW,Pure_1D_CNN,0.5771,46.09,0.4877,51.3,8.84,-3.95,-12.24,-0.37,80.6
2881.TW,Hybrid_LSTM,0.5341,44.78,0.5006,46.52,8.84,-2.46,-11.69,-0.24,95.7
2881.TW,Hybrid_GRU,0.5545,44.78,0.5089,50.87,8.84,-4.05,-15.24,-0.32,124.2
2409.TW,Pure_1D_CNN,0.5736,53.48,0.5862,58.7,42.02,4.49,-10.22,0.28,85.7
2409.TW,Hybrid_LSTM,0.6228,57.39,0.6281,60.87,42.02,1.3,-9.7,0.09,99.4
2409.TW,Hybrid_GRU,0.5876,53.91,0.5951,53.48,42.02,3.7,-9.9,0.26,130.7
2344.TW,Pure_1D_CNN,0.6114,73.04,0.5955,75.65,474.23,-4.3,-21.45,-0.14,79.1
2344.TW,Hybrid_LSTM,0.6424,77.83,0.592,77.39,474.23,0.0,0.0,0.0,89.4
2344.TW,Hybrid_GRU,0.6201,68.26,0.6028,69.13,474.23,2.82,-3.21,0.32,138.3
2388.TW,Pure_1D_CNN,0.4069,32.61,0.4459,35.22,-24.4,-4.44,-4.84,-1.6,76.0
2388.TW,Hybrid_LSTM,0.4804,44.35,0.4956,39.13,-24.4,-5.82,-6.45,-1.41,87.3
2388.TW,Hybrid_GRU,0.4992,42.17,0.5047,39.57,-24.4,-7.02,-7.4,-1.92,143.7
